Rank,NOC,Gold,Silver,Bronze,Total,Year,Participants,host_flag
27,SRB,3,1,1,5,2024,135,0
28,CZE,3,0,2,5,2024,149,0
29,DNK,2,2,5,9,2024,161,0
30,AZE,2,2,3,7,2024,49,0
30,HRV,2,2,3,7,2024,85,0
32,CUB,2,1,6,9,2024,69,0
33,BHR,2,1,1,4,2024,15,0
34,SVN,2,1,0,3,2024,117,0
35,TWN,2,0,5,7,2024,78,0
36,AUT,2,0,3,5,2024,121,0
37,HKG,2,0,2,4,2024,51,0
37,PHL,2,0,2,4,2024,44,0
39,DZA,2,0,1,3,2024,55,0
39,IDN,2,0,1,3,2024,36,0
41,ISR,1,5,1,7,2024,138,0
42,POL,1,4,5,10,2024,312,0
43,KAZ,1,3,3,7,2024,123,0
44,JAM,1,3,2,6,2024,81,0
44,ZAF,1,3,2,6,2024,161,0
44,THA,1,3,2,6,2024,58,0
47,ETH,1,3,0,4,2024,35,0
48,CHE,1,2,5,8,2024,218,0
49,ECU,1,2,2,5,2024,47,0
50,PRT,1,2,1,4,2024,95,0
51,GRC,1,1,6,8,2024,126,0
52,ARG,1,1,1,3,2024,154,0
52,EGY,1,1,1,3,2024,207,0
52,TUN,1,1,1,3,2024,31,0
55,BWA,1,1,0,2,2024,19,0
55,CHL,1,1,0,2,2024,52,0
55,LCA,1,1,0,2,2024,5,0
55,UGA,1,1,0,2,2024,27,0
59,DOM,1,0,2,3,2024,64,0
60,GTM,1,0,1,2,2024,16,0
60,MAR,1,0,1,2,2024,63,0
62,DMA,1,0,0,1,2024,4,0
62,PAK,1,0,0,1,2024,10,0
64,TUR,0,3,5,8,2024,165,0
65,MEX,0,3,2,5,2024,155,0
66,ARM,0,3,1,4,2024,17,0
66,COL,0,3,1,4,2024,105,0
68,KGZ,0,2,4,6,2024,17,0
68,PRK,0,2,4,6,2024,18,0
70,LTU,0,2,2,4,2024,63,0
71,IND,0,1,5,6,2024,138,0
72,MDA,0,1,3,4,2024,30,0
74,CYP,0,1,0,1,2024,23,0
74,FJI,0,1,0,1,2024,36,0
74,JOR,0,1,0,1,2024,13,0
74,MNG,0,1,0,1,2024,48,0
74,PAN,0,1,0,1,2024,13,0
79,TJK,0,0,3,3,2024,14,0
80,ALB,0,0,2,2,2024,9,0
80,GRD,0,0,2,2,2024,6,0
80,MYS,0,0,2,2,2024,32,0
80,PRI,0,0,2,2,2024,53,0
84,CPV,0,0,1,1,2024,7,0
84,CIV,0,0,1,1,2024,18,0
84,PER,0,0,1,1,2024,32,0
84,QAT,0,0,1,1,2024,13,0
84,SGP,0,0,1,1,2024,32,0
84,SVK,0,0,1,1,2024,38,0
84,ZMB,0,0,1,1,2024,32,0
