Rank,NOC,Gold,Silver,Bronze,Total,Year,Participants,host_flag
27,SRB,3,1,1,5,2024,27,0
28,CZE,3,0,2,5,2024,43,0
29,DNK,2,2,5,9,2024,26,0
30,AZE,2,2,3,7,2024,78,0
30,HRV,2,2,3,7,2024,53,0
32,CUB,2,1,6,9,2024,55,0
33,BHR,2,1,1,4,2024,61,0
34,SVN,2,1,0,3,2024,54,0
35,TWN,2,0,5,7,2024,70,0
36,AUT,2,0,3,5,2024,81,0
37,HKG,2,0,2,4,2024,67,0
37,PHL,2,0,2,4,2024,95,0
39,DZA,2,0,1,3,2024,130,0
39,IDN,2,0,1,3,2024,151,0
41,ISR,1,5,1,7,2024,138,0
42,POL,1,4,5,10,2024,76,0
43,KAZ,1,3,3,7,2024,4,0
44,JAM,1,3,2,6,2024,4,0
44,ZAF,1,3,2,6,2024,9,0
44,THA,1,3,2,6,2024,1,0
47,ETH,1,3,0,4,2024,39,0
48,CHE,1,2,5,8,2024,23,0
49,ECU,1,2,2,5,2024,17,0
50,PRT,1,2,1,4,2024,24,0
51,GRC,1,1,6,8,2024,96,0
52,ARG,1,1,1,3,2024,14,0
52,EGY,1,1,1,3,2024,56,0
52,TUN,1,1,1,3,2024,104,0
55,BWA,1,1,0,2,2024,26,0
55,CHL,1,1,0,2,2024,44,0
55,LCA,1,1,0,2,2024,18,0
55,UGA,1,1,0,2,2024,34,0
59,DOM,1,0,2,3,2024,37,0
60,GTM,1,0,1,2,2024,55,0
60,MAR,1,0,1,2,2024,57,0
62,DMA,1,0,0,1,2024,67,0
62,PAK,1,0,0,1,2024,76,0
64,TUR,0,3,5,8,2024,46,0
65,MEX,0,3,2,5,2024,60,0
66,ARM,0,3,1,4,2024,44,0
66,COL,0,3,1,4,2024,18,0
68,KGZ,0,2,4,6,2024,83,0
68,PRK,0,2,4,6,2024,25,0
70,LTU,0,2,2,4,2024,25,0
71,IND,0,1,5,6,2024,63,0
72,MDA,0,1,3,4,2024,35,0
74,CYP,0,1,0,1,2024,84,0
74,FJI,0,1,0,1,2024,59,0
74,JOR,0,1,0,1,2024,57,0
74,MNG,0,1,0,1,2024,55,0
74,PAN,0,1,0,1,2024,78,0
79,TJK,0,0,3,3,2024,77,0
80,ALB,0,0,2,2,2024,99,0
80,GRD,0,0,2,2,2024,76,0
80,MYS,0,0,2,2,2024,55,0
80,PRI,0,0,2,2,2024,63,0
84,CPV,0,0,1,1,2024,76,0
84,CIV,0,0,1,1,2024,93,0
84,PER,0,0,1,1,2024,150,0
84,QAT,0,0,1,1,2024,185,0
84,SGP,0,0,1,1,2024,13,0
84,SVK,0,0,1,1,2024,28,0
84,ZMB,0,0,1,1,2024,19,0
